Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
1554,23221,Harboe,Rakel,,NOR,W,H,25,03:05:35,03:07:00,,
1555,2978,Krastev,Ulli,Athletico Bacardi,GER,M,50,97,03:05:37,03:06:15,,
1556,14030,Weise,Stephan,,GER,M,30,349,03:05:38,03:06:30,,
1557,19689,Mcaree,Edwin,Monaghan Town Runners,IRL,M,30,350,03:05:38,03:07:16,,
1558,23169,White,Cheryl,Berlin Track Club,USA,W,H,26,03:05:39,03:06:10,,
1559,57298,Nation,Gregory,,USA,M,35,319,03:05:42,03:07:03,,
1560,14123,Kaczor,Marceli,MAFIA TEAM LUBLINIEC,POL,M,45,205,03:05:42,03:06:14,,
1561,18800,Heim,Sebastian,,GER,M,30,351,03:05:43,03:25:48,,
1562,53816,GrÃ¶ninger,Sebastian,KessellÃ¤ufer,GER,M,35,320,03:05:44,03:06:32,,
1563,26855,Grewinski,Tomasz,LIPIEC RUNNING TEAM,POL,M,50,98,03:05:44,03:07:20,,
1564,13175,Schroeder,Lisa,,USA,W,30,30,03:05:45,03:07:11,,
1565,17939,Riedel,Julian,,GER,M,30,352,03:05:45,03:07:30,,
1566,19069,Buchwieser,Thomas,,GER,M,40,285,03:05:46,03:06:16,,
1567,50930,Bisschops,Chris,,BEL,M,40,286,03:05:46,03:06:40,,
1568,24036,Altmeppen,Philipp,,GER,M,H,164,03:05:46,03:56:08,,
1569,50139,Aleida,Salem,,QAT,M,35,321,03:05:47,03:06:53,,
1570,61222,Westinghouse,Tasha,,USA,W,45,7,03:05:49,03:07:10,,
1570,18749,Bossuyt,Peter,29-06-1973,BEL,M,45,206,03:05:49,03:06:25,,
1572,13300,Dupont,Clarick,,BEL,M,45,207,03:05:49,03:06:25,,
1573,23838,Norton,Jamie,,GBR,M,45,208,03:05:49,03:29:00,,
1573,26593,Adler,JÃ¼rgen,TSV 1862 Neuburg,GER,M,45,208,03:05:49,03:06:29,,
1575,50374,ASHIKHMIN,Matvey,,RUS,M,H,165,03:05:49,03:28:35,,
1576,24369,BrÃ¼nink,Johannes,TiB Berlin Triathlon,GER,M,50,99,03:05:49,03:07:14,,
1577,58969,Ruhstrat,Steven,,SUI,M,50,100,03:05:50,03:06:53,,
1578,15230,YILDIZ,FATIH,,TUR,M,35,322,03:05:50,03:25:54,,
1579,28991,Shcherbakov,Vasily,,RUS,M,40,287,03:05:51,03:06:13,,
1580,13077,Kempke,Jeremias,,GER,M,H,166,03:05:51,03:06:44,,
1581,18920,Fritsch,Johannes,Jena,GER,M,H,167,03:05:51,03:06:59,,
1582,17608,Backhaus,Axel,Turnerschaft Harburg,GER,M,45,210,03:05:52,03:07:24,,
1583,25829,Kletzin,Daniel,Team Stein-bikes,GER,M,30,353,03:05:53,03:06:36,,
1584,56006,Lindgarde,Gunnar,Team Hybris,SWE,M,55,34,03:05:54,03:06:42,,
1585,60181,Szabo,Michal,,SVK,M,40,288,03:05:55,03:07:33,,
1586,56343,Maillot,Francois,,FRA,M,35,323,03:05:56,03:07:39,,
1587,54039,Hammond,Mike,,CAN,M,50,101,03:05:57,03:08:06,,
1588,50185,Alonso Pastor,F. Javier,,ESP,M,45,211,03:05:58,03:06:34,,
1589,28893,Olivieri,Luca,,ITA,M,40,289,03:05:59,04:21:04,,
1590,29559,Barton,David,Charlies Angel,IRL,M,40,290,03:06:01,03:07:41,,
1591,57181,MÃ¼ller,Benjamin,Lauf-freuNde,GER,M,40,291,03:06:04,03:07:32,,
1592,21124,Haller,Jens,,GER,M,30,354,03:06:04,03:07:22,,
1593,54837,Jimenez Ortega,Marco,,MEX,M,45,212,03:06:08,03:07:59,,
1594,60914,Vieira,Paulo,,POR,M,45,213,03:06:08,03:07:25,,
1595,19904,Horn,Roel,,NED,M,35,324,03:06:09,03:26:54,,
1596,21577,Villarrubia,Carmelo,DE PUENTE A PUENTE,ESP,M,50,102,03:06:12,03:08:06,,
1597,24513,Zajac,Tomasz,,POL,M,40,292,03:06:13,03:07:33,,
1598,24425,Ahern,Rob,,IRL,M,35,325,03:06:14,03:07:25,,
1599,53220,Francos,Sean,Gym 1971,GBR,M,30,355,03:06:17,03:07:18,,
1600,55721,Larson,Eric,,USA,M,30,356,03:06:17,03:08:40,,
1601,60016,Stimm,Erik,Team Druck und Dampf,GER,M,30,357,03:06:18,03:07:12,,
1602,53548,Gil Iglesias,Omar,Home Gym Carolina,ESP,M,40,293,03:06:19,03:26:42,,
1603,2981,Stender,Jan,Lauftreff Steglitz,GER,M,40,294,03:06:20,03:08:30,,
1604,16295,Meyer,Christoph,,GER,M,30,358,03:06:20,03:06:58,,
1605,21155,Jansen,Stig Andre,Kristiansand Lopeklubb,NOR,M,50,103,03:06:21,03:07:55,,
1606,29648,Hiltunen,Seppo,Greve Trim,DEN,M,45,214,03:06:21,03:06:39,,
1607,24703,Guissart,Alain,,BEL,M,45,215,03:06:22,03:07:12,,
1608,29420,Bazzi,Zeinab,Azur Olympic Charenton,FRA,W,35,23,03:06:24,03:08:09,,
1609,57790,Papin,Mathieu,,FRA,M,30,359,03:06:24,03:07:02,,
1610,27282,Barrette,Alyssa,Jacuzzi Boys,USA,W,30,31,03:06:26,03:07:00,,
1611,60425,Tokgoz,Sadik,Somerville Road Runners,USA,M,50,104,03:06:26,03:06:58,,
1612,12203,Fasler,Silvio,Sportverein DÃ¤llikon,SUI,M,H,168,03:06:28,03:26:31,,
1613,53559,Gillesdal,Ingolf,Team for Kids,NOR,M,50,105,03:06:29,03:07:27,,
1614,53930,Gutierrez Ganso,Javier,,ESP,M,35,326,03:06:29,03:07:16,,
1615,25565,Cardamone,Mathew,,USA,M,50,106,03:06:30,03:27:22,,
1616,15028,Erard,Lionel,,SUI,M,30,360,03:06:30,03:06:54,,
1617,14505,Hakert,Daniel,MSC Waren,GER,M,40,295,03:06:30,03:07:39,,
1618,28054,Kirstein,SÃ¶ren,yeswerun,GER,M,30,361,03:06:32,03:08:58,,
1619,23910,Fromyr,Jon,Kent AC,NOR,M,40,296,03:06:32,03:07:10,,
1620,13320,Percy,Trevor,Portlaoise AC,IRL,M,40,297,03:06:32,03:26:49,,
1621,17761,Schulz-Meinen,Samir,TRIABOLOS HAMBURG,GER,M,50,107,03:06:35,03:06:57,,
1622,25999,DÃ¼wel,Matthias,BSG Jungheinrich Hamburg,GER,M,50,108,03:06:35,03:07:03,,
1623,21224,Di Martino,Ivana,,ITA,W,50,6,03:06:37,03:08:07,,
1624,58402,Ragnvaldsen,Monica,IL Try,NOR,W,50,7,03:06:37,03:07:34,,
1625,57689,Ãstergaard,Bjarne,Nordborg Loebeklub,DEN,M,50,109,03:06:37,03:09:10,,
1626,25111,Mullan,Aaron,,IRL,M,30,362,03:06:38,03:27:08,,
1627,14686,Mayoral,Robert,,ESP,M,45,216,03:06:38,03:06:59,,
1628,51023,Bogdanov,Maksym,,UKR,M,35,327,03:06:39,03:07:43,,
1629,13248,Stapf,Pawel,,POL,M,45,217,03:06:40,03:08:28,,
1630,25315,Westra,Dennis,GSAV Vitalis,NED,M,H,169,03:06:40,03:26:46,,
1631,51194,Branca,Mirko,Podistica Sassari,ITA,M,30,363,03:06:40,03:27:51,,
1632,53894,gumkowski,michal,Polska Running Team,USA,M,50,110,03:06:42,03:07:23,,
1633,24373,Ambos,Andreas,SCC Berlin,GER,M,50,111,03:06:43,03:08:00,,
1634,3091,MÃ¸lgÃ¥rd,Mads Kirk,,DEN,M,40,298,03:06:44,03:07:47,,
1635,53316,Gaebel,Christian,KRAFT Runners Berlin,GER,M,35,328,03:06:46,03:06:58,,
1636,19288,Kellogg,John,,USA,M,55,35,03:06:49,03:07:45,,
1637,22099,Marmer Weiss HohwÃ¼,Lukas,Mikkeller Running Club,DEN,M,30,364,03:06:50,03:07:13,,
1638,50259,Andreani,Alessandro,Atl Centrostorico Pesaro,ITA,M,30,365,03:06:50,03:08:33,,
1639,16661,Widulle,Peter,,GER,M,55,36,03:06:51,03:07:54,,
1640,14421,Kern,Patrick,Boarische Bergler,GER,M,30,366,03:06:53,03:09:14,,
1641,58181,Pollet,Joke,,BEL,W,45,8,03:06:53,03:09:32,,
1642,58417,RÃ¤mÃ¤nen,Ilkka,,FIN,M,40,299,03:06:55,03:08:42,,
1643,18929,LÃ¶rsch,Simon,,GER,M,35,329,03:06:55,03:08:16,,
1644,27968,Bartlett,Adam,Harold Wood Running Club,GBR,M,30,367,03:06:56,03:07:45,,
1645,22839,Hougaard,Patrick,,DEN,M,30,368,03:06:57,03:07:45,,
1646,22195,Pochranowicz,Barbara,MaratonDebno,POL,W,40,13,03:06:57,03:08:01,,
1647,21553,Dreier,Jan-Philipp,,GER,M,30,369,03:06:58,03:08:28,,
1648,16218,Ochs,Christian,,GER,M,40,300,03:06:59,03:28:52,,
1649,4953,SchÃ¤fer,Marc Philippe,,GER,M,40,301,03:06:59,03:08:10,,
1650,28779,Cornelis,Kris,,BEL,M,45,218,03:07:00,03:07:18,,
1651,53735,Graeber,Emil,SCC Berlin,GER,M,30,370,03:07:01,03:07:35,,
1652,15451,Franke,Stefan,Falkenhainer SV,GER,M,30,371,03:07:01,03:09:03,,
1653,56063,Lo Presti,Antoni,RCB,BEL,M,45,219,03:07:01,03:09:15,,
1654,53391,Garcia de Andoin,Aitor,AMANDARRI TT,ESP,M,45,220,03:07:03,03:07:55,,
1655,57514,Nugent,Kieran,,GBR,M,30,372,03:07:03,04:23:54,,
1656,17986,Beutelmann,Axel,Berliner Ruder-Club,GER,M,45,221,03:07:05,03:07:49,,
1657,18823,Sammer,Johannes,,GER,M,40,302,03:07:05,03:08:20,,
1658,16379,Glasauer,Max,,GER,M,30,373,03:07:06,03:28:18,,
1659,52507,Diniz Davila,Joao Luis,Limiar Acessoria,BRA,M,H,170,03:07:07,03:08:05,,
1660,55404,Koula,Tom,,GER,M,H,171,03:07:09,03:08:32,,
1661,18799,Mena,Diego,Zebol CHCR CamaleonSports,CRC,M,35,330,03:07:10,03:07:27,,
1662,22466,Wolejko-Wolejszo,Lukasz,Adidas Runners Berlin,GER,M,35,331,03:07:11,03:27:27,,
1663,14353,Albanese,Carson,,USA,M,30,374,03:07:11,03:07:38,,
1664,59774,Smith,Toby,Adidas Runners Dubai,GBR,M,30,375,03:07:11,03:09:03,,
1665,20341,Reichelt,Christian,BrehmTitanRunners,GER,M,H,172,03:07:12,03:09:09,,
1666,51403,Busschaert,Matthieu,,FRA,M,H,173,03:07:12,03:27:21,,
1667,12078,Schmidt,Thomas,,GER,M,35,332,03:07:13,03:08:32,,
1668,16353,Darkow,Alexander,FC Union Berlin,GER,M,40,303,03:07:14,03:09:35,,
1669,16291,Caceres,Alfredo,,ESP,M,30,376,03:07:18,03:09:33,,
1670,57216,MuÃ±oz De La Espada Albi,David,,ESP,M,40,304,03:07:18,03:09:40,,
1671,21354,Jongsma,Siard,,NED,M,30,377,03:07:19,03:09:30,,
1672,21337,Van Isselmuden,Michiel,,NED,M,40,305,03:07:19,03:27:36,,
1673,26829,Heyne,Volker,TUS Eintracht Bielefeld,GER,M,55,37,03:07:19,03:09:59,,
1674,21619,Serafini,Ireno,,ITA,M,55,38,03:07:20,03:08:51,,
1675,27492,Pohl,Haiko,BTS Bayreuth,GER,M,50,112,03:07:20,03:07:39,,
1676,24297,Troncoso Sobrino,RamÃ³n,Atletismo Porrino,ESP,M,40,306,03:07:21,03:07:56,,
1677,50320,ARANDA CANO,Miguel,ASL La Robertsau,ESP,M,50,113,03:07:21,03:08:00,,
1678,58686,Ritterbach,Christian,Luscinia Alpha,GER,M,H,174,03:07:22,03:08:25,,
1679,24197,Reschwamm,Stefan,Karlsruher Lemminge,GER,M,H,175,03:07:23,03:29:26,,
1680,27697,Matijevic,Darko,Triathlon team Hamburg,SLO,M,35,333,03:07:23,03:08:31,,
1681,59417,Schulz,Jordy,,NED,M,30,378,03:07:24,03:28:10,,
1682,51916,Colososchi,Joao,,BRA,M,30,379,03:07:26,03:27:32,,
1683,54573,Hughes,James,,IRL,M,40,307,03:07:28,03:09:11,,
1684,18566,Borst,Florian,Team ONE ZF,GER,M,35,334,03:07:30,03:28:31,,
1685,18826,Schreiner,Bilbo,AV Loopgroep Aart Stigter,NED,M,45,222,03:07:30,03:09:16,,
1686,53175,Forstner,Philipp,,GER,M,H,176,03:07:30,03:09:03,,
1687,23101,Camenzind,Peter,Albis Reisen,SUI,M,70,1,03:07:32,03:07:56,,
1688,17386,Leroux,Elvin,adidas runners Paris,FRA,M,H,177,03:07:33,03:08:53,,
1689,25708,Mejia,Alexis,,DOM,M,40,308,03:07:34,03:09:25,,
1690,59404,Schubert,Luiz,HÃ¼tten Runners,GER,M,H,178,03:07:35,03:08:19,,
1691,60648,Valenciano,Jorge,,MEX,M,35,335,03:07:36,03:07:53,,
1691,20666,Omelchenko,Ivan,,UKR,M,40,309,03:07:36,03:11:17,,
1693,22761,La Torre,Antonino,,ITA,M,40,310,03:07:36,03:08:50,,
1694,55463,Krechting,Judith,TSV Krofdorf Gleiberg,GER,W,H,27,03:07:37,03:27:42,,
1694,13842,Chico Castello,Antonio,,ESP,M,60,8,03:07:37,03:09:04,,
1696,51967,coombes,thomas,,IRL,M,35,336,03:07:38,03:09:07,,
1697,13913,Seffers,Henning,LG Oerlinghausen,GER,M,40,311,03:07:38,03:08:26,,
1698,21427,El Karkafy,Imad,Inter-Lebanon,LIB,M,30,380,03:07:42,03:28:04,,
1699,57778,Paniza,Rufino,Km a Km Running Team,ARG,M,30,381,03:07:43,03:28:42,,
1700,18625,Aust,Matthias,,GER,M,45,223,03:07:43,04:26:26,,
1701,27816,Rabe,Isabell,LG Region Landshut,GER,W,35,24,03:07:44,03:09:29,,
1702,12672,Albl,Nicolas,gotorun,GER,M,H,179,03:07:44,03:09:20,,
1703,28924,Masuello,Manuel,,ITA,M,40,312,03:07:44,03:09:25,,
1704,27604,Waldenburger,Thomas,GGS Masters Heilbronn,GER,M,30,382,03:07:46,03:27:59,,
1705,54908,Josifi,Lena,,ALB,W,30,32,03:07:46,03:08:47,,
1706,13786,Geraghty,Timothy,,USA,M,H,180,03:07:46,03:09:14,,
1707,14340,Gourdon,David,,FRA,M,50,114,03:07:49,03:10:04,,
1708,54447,Holodnov,Kyrylo,,UKR,M,30,383,03:07:49,03:09:36,,
1709,51076,Bonner,John,,GBR,M,35,337,03:07:49,03:08:06,,
1710,12924,Petzold,Tommy,Team Physio - Life,GER,M,40,313,03:07:50,03:28:23,,
1711,17790,Timm,Fabian,,GER,M,30,384,03:07:52,03:08:32,,
1712,15987,Lange,Dominic,Eintracht Hildesheim Tria,GER,M,30,385,03:07:55,03:09:38,,
1713,15527,HÃ¼ttner,Stephan,TSV Massing,GER,M,H,181,03:07:55,03:32:40,,
1714,14772,Ferro,Alessandro,,ITA,M,H,182,03:07:56,04:23:01,,
1715,18007,Ortiz Garrido,Miguel,,ESP,M,45,224,03:07:56,03:08:22,,
1716,60948,Viscaya Sandoval,Jose Carlos,Adidas Runners Zurich,MEX,M,30,386,03:07:57,03:08:48,,
1717,28787,Eloy Dit Agry,SÃ©bastien,,BEL,M,40,314,03:07:57,03:09:18,,
1718,57221,Munz,Jochen,,GER,M,45,225,03:07:57,03:09:09,,
1719,50473,Baggett,Brent,,USA,M,35,338,03:07:58,03:09:55,,
1720,58298,PrÃ¶ll,JÃ¼rgen,MÃ¼hl4tler Bike Team,AUT,M,H,183,03:07:59,03:10:07,,
1721,12029,Thiele,JÃ¼rgen,,GER,M,55,39,03:08:00,03:08:37,,
1722,24415,Spielvogel,Finn F.,,GER,M,H,184,03:08:00,03:09:13,,
1723,60738,Van Mil,Ronald,Thof Running Maasland,NED,M,40,315,03:08:02,03:08:44,,
1724,29185,Rydz Moscicki,Robert,,POL,M,40,316,03:08:02,03:28:33,,
1725,51595,Castiblanco Orozco,Christian Enrique,,COL,M,35,339,03:08:02,03:08:59,,
1726,53840,GrÃ¼nerbel,Lorenz,EI-Flitzer,GER,M,H,185,03:08:03,03:28:17,,
1727,20360,CHAVINIER,FRANK,Imagine for Margo,FRA,M,35,340,03:08:04,03:10:36,,
1728,50524,Banaszewski,Wojciech,,POL,M,40,317,03:08:05,03:09:19,,
1729,12619,Friedrich,Thomas,Team SRH Campus Sports,GER,M,35,341,03:08:06,03:09:18,,
1730,24819,Ericksen,Russell,,USA,M,35,342,03:08:07,03:08:29,,
1731,22822,Hussein,Ibrahim,SCC BERLIN,GER,M,45,226,03:08:07,03:08:42,,
1732,50933,Bjerke,Kristian Holten,Montebello Bad og Trim,NOR,M,H,186,03:08:08,03:09:57,,
1733,24724,Horak,Peter,Wiener Blut,AUT,M,40,318,03:08:09,03:09:11,,
1734,20744,Veldboer,Robin,OLC 93,NED,M,40,319,03:08:09,03:08:32,,
1735,19256,Vis,Richard,Loopreizen,NED,M,30,387,03:08:09,03:09:01,,
1736,61256,Widman,Alli,Pirates of Sunrise,USA,W,40,14,03:08:10,03:09:13,,
1737,17632,Silva Campillo,Arturo,,ESP,M,30,388,03:08:10,03:09:50,,
1738,54219,Hellebusch,Timo,25 Minutes,GER,M,40,320,03:08:10,04:25:38,,
1739,56896,Migliavacca,Andrea,,ITA,M,40,321,03:08:11,03:28:14,,
1740,61152,Wedemeyer,Bradley,,USA,M,45,227,03:08:12,03:08:46,,
1741,54493,Hortopp,Robert,,GBR,M,50,115,03:08:12,03:10:23,,
1742,56966,Moerman,Joeri,,BEL,M,30,389,03:08:12,03:10:06,,
1743,20609,Massala Biyaga,Georges Aime,,MEX,M,50,116,03:08:12,03:08:38,,
1744,23747,Kowal,Andrzej,Iron Dragon Triathlon,POL,M,40,322,03:08:13,03:09:32,,
1745,59116,Sanchez Hernandez,Carlos,GORODS,ESP,M,30,390,03:08:17,03:10:38,,
1746,54744,JAMBERT,MICKAEL,Front Runners de Paris,FRA,M,35,343,03:08:18,03:09:42,,
1747,52952,Fantino,Gianni,,ITA,M,40,323,03:08:18,03:09:49,,
1748,18465,Jouanne,Alexandre,ADIDAS RUNNERS,FRA,M,30,391,03:08:19,03:10:40,,
1749,23149,Medina GarcÃ­a-Estrada,Jonay,,ESP,M,35,344,03:08:20,04:25:11,,
1750,22123,Kern,Olaf,SCC Berlin,GER,M,55,40,03:08:22,03:10:44,,
1751,26069,GÃ¶tz,JÃ¼rgen,,GER,M,40,324,03:08:22,03:10:34,,
1752,60715,Van Eeden,Lukas,,NED,M,35,345,03:08:23,03:09:31,,
1753,58913,Rossing,Jeroen,,NED,M,45,228,03:08:23,03:09:45,,
1754,22077,Kiljunen,Anne,Hippoksen Maratonkerho,FIN,W,40,15,03:08:23,03:09:56,,
1755,59010,Ruymen,Wouter,AC ALKEN,BEL,M,30,392,03:08:24,03:08:53,,
1756,14398,Christiansen,Per,,DEN,M,35,346,03:08:24,03:09:45,,
1756,23048,Hernandez Leon,Jose Luis,Castillejo Running Team,ESP,M,50,117,03:08:24,03:09:29,,
1758,57249,Mylet,Jim,,CAN,M,50,118,03:08:24,03:09:47,,
1759,18561,Mcnulty,Alex,Highgate Harriers,IRL,M,H,187,03:08:24,03:09:29,,
1760,61549,Zavala,Ruy,,MEX,M,50,119,03:08:25,03:28:43,,
1761,59857,Soto Plaza,Oscar,Trail Esmeralda,MEX,M,45,229,03:08:27,03:30:04,,
1762,56791,Melnychenko,Andrii,,UKR,M,45,230,03:08:27,03:10:02,,
1763,51980,Cordero Rovelo,Anabell,,MEX,W,H,28,03:08:30,03:08:48,,
1764,21134,Aas,Ãrjan Svaland,Kristiansand Lopeklubb,NOR,M,30,393,03:08:30,03:09:37,,
1765,56990,MÃ¶ller,Benjamin,AR Frankfurt,GER,M,30,394,03:08:31,03:09:23,,
1766,56020,Linsell,Grant,Portland Running Company,USA,M,40,325,03:08:31,03:09:11,,
1767,15129,Bowe,Hannah,,IRL,W,35,25,03:08:32,03:12:07,,
1768,57111,Morren,Nienke,Run for KiKa Marathon,NED,W,30,33,03:08:33,03:29:08,,
1769,57634,O'Neill,Sean,,CAN,M,55,41,03:08:34,03:09:39,,
1770,19964,Witte,Annemieke,,NED,W,H,29,03:08:34,03:10:07,,
1771,14875,Reinhard,Niels,Ookam Software GmbH,GER,M,30,395,03:08:34,03:09:34,,
1771,25995,Masuda,Hirotoshi,,JPN,M,30,395,03:08:34,03:29:26,,
1773,26668,Munz,Michael,Sport Ruscher Team,GER,M,50,120,03:08:35,03:09:39,,
1774,13494,Markiewicz,Darius,Kein,GER,M,50,121,03:08:36,03:10:20,,
1775,25876,Sekulla,Adam,,GER,M,40,326,03:08:37,03:09:32,,
1776,13323,Kupferer,Reiner,Leistungsdiagnostik de,GER,M,50,122,03:08:37,03:08:49,,
1777,20488,De Martin,Andrea,,ITA,M,50,123,03:08:38,03:09:18,,
1778,52816,Encarnacion Barriga,Luis Alberto,HUICHOL RUNNING TEAM,MEX,M,40,327,03:08:38,03:09:50,,
1779,18631,Fermaut,Sylvie,,BEL,W,35,26,03:08:39,03:11:12,,
1780,24195,Axelsen,Thomas,,NOR,M,50,124,03:08:40,03:09:38,,
1781,18635,De Vilder,Tim,PeakLevel,BEL,M,35,347,03:08:40,03:11:13,,
1782,58535,Reiners,Juul,,NED,M,30,397,03:08:40,03:10:41,,
1783,21028,Montemezzo,Matteo,,ITA,M,40,328,03:08:42,04:24:33,,
1784,14719,Huhn,Sebastian,LG eXa Leipzig eV,GER,M,30,398,03:08:42,03:09:32,,
1785,52059,Creytens,Philippe,Berlin Midnight Runners,BEL,M,30,399,03:08:43,03:09:34,,
1786,22216,Ahlberg,Frank Johan,IF Linnea,SWE,M,50,125,03:08:43,03:09:21,,
1787,29038,Gehr,Simon,,GER,M,H,188,03:08:44,03:10:46,,
1788,57247,Myers,Jesse,,USA,M,40,329,03:08:45,03:09:34,,
1789,24103,Kapiloto,Itay,,ISR,M,30,400,03:08:45,03:09:31,,
1790,52742,Eggleston,Andy,,GBR,M,40,330,03:08:47,03:09:48,,
1791,22081,Dydio,Piotr,PID-MILL TEAM,POL,M,50,126,03:08:48,03:09:43,,
1792,20971,Dahl Sandegren,RenÃ©,Team Hybris Taeby IS,SWE,M,45,231,03:08:48,03:09:36,,
1793,58257,Prais,Anna,Second Wind,ISR,W,45,9,03:08:49,03:09:45,,
1794,59629,Siebert,Manuel,LG Bremen-Nord,GER,M,35,348,03:08:49,03:10:59,,
1795,54186,heger,marco,no games just sports,GER,M,40,331,03:08:49,03:09:58,,
1796,29629,Bogdol,Marek,Drogadotokio pl,POL,M,35,349,03:08:50,03:09:24,,
1797,60920,Vigier,Frederic,GRANVILLE AC,FRA,M,40,332,03:08:51,03:11:08,,
1798,19025,Marquez,Carlos,mind2motion,MEX,M,40,333,03:08:54,03:10:27,,
1799,27598,Wach,Monika,TEAM KOPEC,POL,W,40,16,03:08:55,03:11:09,,
1800,28195,STEPIEN,KRZYSZTOF,,POL,M,40,334,03:08:55,03:10:10,,
1801,28252,Schiller,Niklas,,GER,M,H,189,03:08:55,03:29:03,,
1802,14840,Quandt,Robert,Erdinger,GER,M,40,335,03:08:56,03:09:36,,
1803,57393,Nicolaissen,BjÃ¸rn Otto,,NOR,M,35,350,03:08:56,03:10:38,,
1804,55004,Kapahatia,Mohit,,IND,M,35,351,03:08:57,04:23:59,,
1805,13669,Loeber,Ralf,100 MC,GER,M,40,336,03:08:59,03:29:30,,
1806,14181,Xu,Xin,,USA,M,50,127,03:08:59,03:09:21,,
1807,17271,Melendo Padron,Jonas,Transbrothers,ESP,M,35,352,03:09:00,03:10:56,,
1808,19302,Kooistra,Klaas,,NED,M,45,232,03:09:01,03:11:43,,
1809,24663,PfÃ¼tze,Sebastian,Lauffreunde Widdern,GER,M,35,353,03:09:01,03:29:21,,
1810,53893,Gulstad,John,Snik,DEN,M,45,233,03:09:01,03:10:15,,
1811,15649,Jockisch,Thorsten,HSV Medizin Magdeburg,GER,M,40,337,03:09:01,03:10:05,,
1812,54015,Hall,Richard,,GBR,M,30,401,03:09:02,03:30:01,,
1813,22612,Johansson,Jonas,BAC - Runners United,DEN,M,45,234,03:09:02,03:09:47,,
1814,54953,Kaci,Yazid,RUN AND FREEDOM,ALG,M,40,338,03:09:03,03:09:46,,
1815,23360,Ciborowski,Marek,,POL,M,35,354,03:09:03,03:11:22,,
1816,54722,Jacquinot,Patrick,,FRA,M,45,235,03:09:03,03:11:11,,
1817,59988,Stepanchuk,Vitalii,SRC Ukraine,UKR,M,35,355,03:09:05,03:10:51,,
1818,12510,Graumann,Andreas,,GER,M,35,356,03:09:07,03:10:00,,
1819,14321,Profumo,Francesco,,ITA,M,40,339,03:09:07,03:09:20,,
1820,61058,Waldburger,Maik,Ruppiner Triathlon Verein,GER,M,40,340,03:09:08,03:11:37,,
1821,28115,Opt-Eynde,Laura,Kimbia Sports Gotorun,GER,W,30,34,03:09:09,03:10:11,,
1822,23475,Krause,Niklas,BRIDGE RUNNERS,GER,M,H,190,03:09:09,03:09:50,,
1823,20385,Limousin,Olivier,BAKER TILLY STREGO,FRA,M,50,128,03:09:09,03:29:14,,
1824,52407,Dessyn,Olivier,Dashing Whippets,FRA,M,45,236,03:09:13,03:11:56,,
1825,23356,BjÃ¸rndal,Dag,,NOR,M,55,42,03:09:13,03:29:20,,
1826,52208,Dauphinee,Matt,,USA,M,40,341,03:09:13,03:10:47,,
1827,50187,Alonzo,Ivan,Zwift Academy Run,USA,M,35,357,03:09:14,03:09:27,,
1828,23429,KÃ¶nig,Sebastian,,GER,M,35,358,03:09:14,03:09:48,,
1829,58554,Reith,Frederik,,GER,M,35,359,03:09:14,03:10:27,,
1830,51909,Collin,Jeremy,,FRA,M,35,360,03:09:15,03:10:16,,
1831,19113,Lane,Mike,Wimbledon Windmilers,GBR,M,45,237,03:09:15,03:10:08,,
1832,52855,Eriksen,Simen Smetbak,,NOR,M,H,191,03:09:15,03:11:04,,
1832,26837,Hodnefjell,Richard,,NOR,M,45,238,03:09:15,03:11:00,,
1834,25239,Hustede,Eilert,Team Laufrausch Oldenburg,GER,M,55,43,03:09:16,03:11:44,,
1835,4043,Nasdal,Reinhard,Teltowkanal Runners,GER,M,50,129,03:09:16,03:10:09,,
1836,14594,GÃ¼rtler,Matthias,Oranienburg Tiergarten,GER,M,50,130,03:09:16,03:10:32,,
1837,57629,O'Mahoney,John,,USA,M,55,44,03:09:18,03:10:33,,
1838,50750,Bendoni,Daniele,,ITA,M,40,342,03:09:18,03:10:18,,
1839,17506,Bento,Rui,,POR,M,35,361,03:09:18,03:12:05,,
1840,53512,Geschier,Barbara,8000 Running,BEL,W,35,27,03:09:22,03:11:55,,
1841,54870,Johnsson,Fredrik,ÃREBRO AIK,SWE,M,45,239,03:09:22,03:09:30,,
1842,19507,Quirke,Vincent,Tallaght Athletics Club,IRL,M,35,362,03:09:23,03:10:25,,
1843,50221,Ameijeiras,Sergio,,ARG,M,45,240,03:09:24,03:11:01,,
1844,24786,Szidat,Marten,LG SV Werder Bremen,GER,M,40,343,03:09:24,03:11:03,,
1845,55017,Karanfilov,Andrii,,UKR,M,35,363,03:09:25,03:32:23,,
1846,23193,Thompson,John,MAAC,IRL,M,40,344,03:09:25,03:29:32,,
1847,27379,Raapke,Julius,,GER,M,35,364,03:09:25,03:10:46,,
1848,27672,Benkert,Matthias,TG 1848 Schweinfurt,GER,M,35,365,03:09:26,03:10:14,,
1849,61337,Winkelmolen,Remo,,NED,M,H,192,03:09:26,03:29:40,,
1850,13437,Kleffel,Matthias,Stadtmarathon WÃ¼rzburg,GER,M,35,366,03:09:27,03:10:50,,
1851,12572,TÃ³th,JÃ¡nos,,HUN,M,H,193,03:09:28,03:11:32,,
1852,22223,Thomsen,Malissa Dawn,,DEN,W,35,28,03:09:28,03:11:22,,
